national_number,gen,english_name,description,primary_type,secondary_type,classification,percent_male,percent_female,height_m,weight_kg,capture_rate,base_egg_steps,hp,attack,defense,sp_attack,sp_defense,speed,abilities_0,abilities_1,abilities_2,abilities_hidden,is_sublegendary,is_legendary,is_mythical,evo1,evo1_target,evo2,evo2_target,evo3,evo3_target
43,I,Oddish,If exposed to moonlight it starts to move. It roams far and wide at night to scatter its seeds.,grass,poison,Weed Pokémon,50.2,49.8,0.5,5.4,255,5120,45,50,55,75,65,30,Chlorophyll,,,Run Away,0,0,0,21,Gloom,,,,
44,I,Gloom,Its pistils exude an incredibly foul odor. The horrid stench can cause fainting at a distance of 1.25 miles.,grass,poison,Weed Pokémon,50.2,49.8,0.8,8.6,120,5120,60,65,70,85,75,40,Chlorophyll,,,Stench,0,0,0,-3,Vileplume,-6,Bellossom,,
45,I,Vileplume,It has the world’s largest petals. With every step the petals shake out heavy clouds of toxic pollen.,grass,poison,Flower Pokémon,50.2,49.8,1.2,18.6,45,5120,75,80,85,110,90,50,Chlorophyll,,,Effect Spore,0,0,0,,,,,,
46,I,Paras,Burrows under the ground to gnaw on tree roots. The mushrooms on its back absorb most of the nutrition.,bug,grass,Mushroom Pokémon,50,50,0.3,5.4,190,5120,35,70,55,45,55,25,Effect Spore,Dry Skin,,Damp,0,0,0,24,Parasect,,,,
47,I,Parasect,The bug host is drained of energy by the mushroom on its back. The mushroom appears to do all the thinking.,bug,grass,Mushroom Pokémon,50,50,1,29.5,75,5120,60,95,80,60,80,30,Effect Spore,Dry Skin,,Damp,0,0,0,,,,,,
48,I,Venonat,Its large eyes act as radar. In a bright place you can see that they are clusters of many tiny eyes.,bug,poison,Insect Pokémon,50,50,1,30,190,5120,60,55,50,40,55,45,Compound Eyes,Tinted Lens,,Run Away,0,0,0,31,Venomoth,,,,
49,I,Venomoth,The powdery scales on its wings are hard to remove from skin. They also contain poison that leaks out on contact.,bug,poison,Poison Moth Pokémon,50,50,1.5,12.5,75,5120,70,65,60,90,75,90,Shield Dust,Tinted Lens,,Wonder Skin,0,0,0,,,,,,
50,I,Diglett,If a Diglett digs through a field it leaves the soil perfectly tilled and ideal for planting crops.,ground,ground,Mole Pokémon,50.2,49.8,0.2,0.8,255,5120,10,55,25,35,45,95,Sand Veil,Arena Trap,,Sand Force,0,0,0,26,Dugtrio,,,,
51,I,Dugtrio,A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.,ground,ground,Mole Pokémon,50.2,49.8,0.7,33.3,50,5120,35,100,50,50,70,120,Sand Veil,Arena Trap,,Sand Force,0,0,0,,,,,,
52,I,Meowth,It loves to collect shiny things. If it’s in a good mood it might even let its Trainer have a look at its hoard of treasures.,normal,dark,Scratch Cat Pokémon,50.2,49.8,0.4,4.2,255,5120,40,45,35,40,40,90,Pickup,Technician,,Unnerve,0,0,0,28,Persian,,,,
53,I,Persian,Getting this prideful Pokémon to warm up to you takes a lot of effort and it will claw at you the moment it gets annoyed.,normal,dark,Classy Cat Pokémon,50.2,49.8,1,32,90,5120,65,70,60,65,65,115,Limber,Technician,,Unnerve,0,0,0,,,,,,
54,I,Psyduck,Psyduck is constantly beset by headaches. If the Pokémon lets its strange power erupt apparently the pain subsides for a while.,water,,Duck Pokémon,50.2,49.8,0.8,19.6,190,5120,50,52,48,65,50,55,Damp,Cloud Nine,,Swift Swim,0,0,0,33,Golduck,,,,
55,I,Golduck,This Pokémon lives in gently flowing rivers. It paddles through the water with its long limbs putting its graceful swimming skills on display.,water,,Duck Pokémon,50.2,49.8,1.7,76.6,75,5120,80,82,78,95,80,85,Damp,Cloud Nine,,Swift Swim,0,0,0,,,,,,
56,I,Mankey,An agile Pokémon that lives in trees. It angers easily and will not hesitate to attack anything.,fighting,,Pig Monkey Pokémon,50,50,0.5,28,190,5120,40,80,35,35,45,70,Vital Spirit,Anger Point,,Defiant,0,0,0,28,Primeape,,,,
57,I,Primeape,It stops being angry only when nobody else is around. To view this moment is very difficult.,fighting,,Pig Monkey Pokémon,50,50,1,32,75,5120,65,105,60,60,70,95,Vital Spirit,Anger Point,,Defiant,0,0,0,,,,,,
58,I,Growlithe,It has a brave and trustworthy nature. It fearlessly stands up to bigger and stronger foes.,fire,,Puppy Pokémon,75.49,24.51,0.7,19,190,5120,55,70,45,70,50,60,Intimidate,Flash Fire,,Justified,0,0,0,-1,Arcanine,,,,
59,I,Arcanine,The sight of it running over 6200 miles in a single day and night has captivated many people.,fire,,Legendary Pokémon,75.49,24.51,1.9,155,75,5120,90,110,80,100,80,95,Intimidate,Flash Fire,,Justified,0,0,0,,,,,,
60,I,Poliwag,For Poliwag swimming is easier than walking. The swirl pattern on its belly is actually part of the Pokémon’s innards showing through the skin.,water,,Tadpole Pokémon,50.2,49.8,0.6,12.4,255,5120,40,50,40,40,40,90,Water Absorb,Damp,,Swift Swim,0,0,0,25,Poliwhirl,,,,
61,I,Poliwhirl,Staring at the swirl on its belly causes drowsiness. This trait of Poliwhirl’s has been used in place of lullabies to get children to go to sleep.,water,,Tadpole Pokémon,50.2,49.8,1,20,120,5120,65,65,65,50,50,90,Water Absorb,Damp,,Swift Swim,0,0,0,-2,Poliwrath,-13,Politoed,,
62,I,Poliwrath,Its body is solid muscle. When swimming through cold seas Poliwrath uses its impressive arms to smash through drift ice and plow forward.,water,fighting,Tadpole Pokémon,50.2,49.8,1.3,54,45,5120,90,95,95,70,90,70,Water Absorb,Damp,,Swift Swim,0,0,0,,,,,,
63,I,Abra,This Pokémon uses its psychic powers while it sleeps. The contents of Abra’s dreams affect the powers that the Pokémon wields.,psychic,,Psi Pokémon,75.49,24.51,0.9,19.5,200,5120,25,20,15,105,55,90,Synchronize,Inner Focus,,Magic Guard,0,0,0,16,Kadabra,,,,
64,I,Kadabra,Using its psychic power Kadabra levitates as it sleeps. It uses its springy tail as a pillow.,psychic,,Psi Pokémon,75.49,24.51,1.3,56.5,100,5120,40,35,30,120,70,105,Synchronize,Inner Focus,,Magic Guard,0,0,0,-8,Alakazam,,,,
65,I,Alakazam,It has an incredibly high level of intelligence. Some say that Alakazam remembers everything that ever happens to it from birth till death.,psychic,,Psi Pokémon,75.49,24.51,1.5,48,50,5120,55,50,45,135,95,120,Synchronize,Inner Focus,,Magic Guard,0,0,0,,,,,,
66,I,Machop,Its whole body is composed of muscles. Even though it’s the size of a human child it can hurl 100 grown-ups.,fighting,,Superpower Pokémon,75.49,24.51,0.8,19.5,180,5120,70,80,50,35,35,35,Guts,No Guard,,Steadfast,0,0,0,28,Machoke,,,,
67,I,Machoke,Its muscular body is so powerful it must wear a power-save belt to be able to regulate its motions.,fighting,,Superpower Pokémon,75.49,24.51,1.5,70.5,90,5120,80,100,70,50,60,45,Guts,No Guard,,Steadfast,0,0,0,-8,Machamp,,,,
68,I,Machamp,It quickly swings its four arms to rock its opponents with ceaseless punches and chops from all angles.,fighting,,Superpower Pokémon,75.49,24.51,1.6,130,45,5120,90,130,80,65,85,55,Guts,No Guard,,Steadfast,0,0,0,,,,,,
69,I,Bellsprout,Prefers hot and humid places. It ensnares tiny bugs with its vines and devours them.,grass,poison,Flower Pokémon,50,50,0.7,4,255,5120,50,75,35,70,30,40,Chlorophyll,,,Gluttony,0,0,0,21,Weepinbell,,,,
70,I,Weepinbell,When hungry it swallows anything that moves. Its hapless prey is dissolved by strong acids.,grass,poison,Flycatcher Pokémon,50,50,1,6.4,120,5120,65,90,50,85,45,55,Chlorophyll,,,Gluttony,0,0,0,-3,Victreebel,,,,
71,I,Victreebel,Lures prey with the sweet aroma of honey. Swallowed whole the prey is dissolved in a day bones and all.,grass,poison,Flycatcher Pokémon,50,50,1.7,15.5,45,5120,80,105,65,100,70,70,Chlorophyll,,,Gluttony,0,0,0,,,,,,
72,I,Tentacool,Tentacool is not a particularly strong swimmer. It drifts across the surface of shallow seas as it searches for prey.,water,poison,Jellyfish Pokémon,50.2,49.8,0.9,45.5,190,5120,40,40,35,50,100,70,Clear Body,Liquid Ooze,,Rain Dish,0,0,0,30,Tentacruel,,,,
73,I,Tentacruel,When the red orbs on Tentacruel’s head glow brightly watch out. The Pokémon is about to fire off a burst of ultrasonic waves.,water,poison,Jellyfish Pokémon,50.2,49.8,1.6,55,60,5120,80,70,65,80,120,100,Clear Body,Liquid Ooze,,Rain Dish,0,0,0,,,,,,
74,I,Geodude,Commonly found near mountain trails and the like. If you step on one by accident it gets angry.,rock,ground,Rock Pokémon,50,50,0.4,20,255,3840,40,80,100,30,30,20,Rock Head,Sturdy,,Sand Veil,0,0,0,25,Graveler,,,,
75,I,Graveler,Often seen rolling down mountain trails. Obstacles are just things to roll straight over not avoid.,rock,ground,Rock Pokémon,50,50,1,105,120,3840,55,95,115,45,45,35,Rock Head,Sturdy,,Sand Veil,0,0,0,-8,Golem,,,,
76,I,Golem,Once it sheds its skin its body turns tender and whitish. Its hide hardens when it’s exposed to air.,rock,ground,Megaton Pokémon,50,50,1.4,300,45,3840,80,120,130,55,65,45,Rock Head,Sturdy,,Sand Veil,0,0,0,,,,,,
77,I,Ponyta,It can’t run properly when it’s newly born. As it races around with others of its kind its legs grow stronger.,fire,psychic,Fire Horse Pokémon,50.2,49.8,1,30,190,5120,50,85,55,65,65,90,Run Away,Flash Fire,,Flame Body,0,0,0,40,Rapidash,,,,
78,I,Rapidash,This Pokémon can be seen galloping through fields at speeds of up to 150 mph its fiery mane fluttering in the wind.,fire,psychic,Fire Horse Pokémon,50.2,49.8,1.7,95,60,5120,65,100,70,80,80,105,Run Away,Flash Fire,,Flame Body,0,0,0,,,,,,
79,I,Slowpoke,Slow-witted and oblivious this Pokémon won’t feel any pain if its tail gets eaten. It won’t notice when its tail grows back either.,water,psychic,Dopey Pokémon,50.2,49.8,1.2,36,190,5120,90,65,65,40,40,15,Oblivious,Own Tempo,,Regenerator,0,0,0,37,Slowbro,-13,Slowking,,
80,I,Slowbro,Slowpoke became Slowbro when a Shellder bit on to its tail. Sweet flavors seeping from the tail make the Shellder feel as if its life is a dream.,water,psychic,Hermit Crab Pokémon,50.2,49.8,1.6,78.5,75,5120,95,75,110,100,80,30,Oblivious,Own Tempo,,Regenerator,0,0,0,,,,,,
81,I,Magnemite,At times Magnemite runs out of electricity and ends up on the ground. If you give batteries to a grounded Magnemite it’ll start moving again.,electric,steel,Magnet Pokémon,,,0.3,6,190,5120,25,35,70,95,55,45,Magnet Pull,Sturdy,,Analytic,0,0,0,30,Magneton,,,,
82,I,Magneton,This Pokémon is three Magnemite that have linked together. Magneton sends out powerful radio waves to study its surroundings.,electric,steel,Magnet Pokémon,,,1,60,60,5120,50,60,95,120,70,70,Magnet Pull,Sturdy,,Analytic,0,0,0,-4,Magnezone,,,,
83,I,Farfetch'd,The stalk this Pokémon carries in its wings serves as a sword to cut down opponents. In a dire situation the stalk can also serve as food.,normal,flying,Wild Duck Pokémon,50.2,49.8,0.8,15,45,5120,52,90,55,58,62,60,Keen Eye,Inner Focus,,Defiant,0,0,0,,,,,,
84,I,Doduo,Its short wings make flying difficult. Instead this Pokémon runs at high speed on developed legs.,normal,flying,Twin Bird Pokémon,50,50,1.4,39.2,190,5120,35,85,45,35,35,75,Run Away,Early Bird,,Tangled Feet,0,0,0,31,Dodrio,,,,
85,I,Dodrio,One of Doduo’s two heads splits to form a unique species. It runs close to 40 mph in prairies.,normal,flying,Triple Bird Pokémon,50,50,1.8,85.2,45,5120,60,110,70,60,60,110,Run Away,Early Bird,,Tangled Feet,0,0,0,,,,,,
86,I,Seel,Loves freezing-cold conditions. Relishes swimming in a frigid climate of around 14 degrees Fahrenheit.,water,,Sea Lion Pokémon,50,50,1.1,90,190,5120,65,45,55,45,70,45,Thick Fat,Hydration,,Ice Body,0,0,0,34,Dewgong,,,,
87,I,Dewgong,Its entire body is a snowy white. Unharmed by even intense cold it swims powerfully in icy waters.,water,ice,Sea Lion Pokémon,50,50,1.7,120,75,5120,90,70,80,70,95,70,Thick Fat,Hydration,,Ice Body,0,0,0,,,,,,
88,I,Grimer,Made of congealed sludge. It smells too putrid to touch. Even weeds won’t grow in its path.,poison,poison,Sludge Pokémon,50,50,0.9,30,190,5120,80,80,50,40,50,25,Stench,Sticky Hold,,Poison Touch,0,0,0,38,Muk,,,,
89,I,Muk,Smells so awful it can cause fainting. Through degeneration of its nose it lost its sense of smell.,poison,poison,Sludge Pokémon,50,50,1.2,30,75,5120,105,105,75,65,100,50,Stench,Sticky Hold,,Poison Touch,0,0,0,,,,,,
90,I,Shellder,It swims facing backward by opening and closing its two-piece shell. It is surprisingly fast.,water,,Bivalve Pokémon,50.2,49.8,0.3,4,190,5120,30,65,100,45,25,40,Shell Armor,Skill Link,,Overcoat,0,0,0,-2,Cloyster,,,,
91,I,Cloyster,Its shell is extremely hard. It cannot be shattered even with a bomb. The shell opens only when it is attacking.,water,ice,Bivalve Pokémon,50.2,49.8,1.5,132.5,60,5120,50,95,180,85,45,70,Shell Armor,Skill Link,,Overcoat,0,0,0,,,,,,
92,I,Gastly,Born from gases anyone would faint if engulfed by its gaseous body which contains poison.,ghost,poison,Gas Pokémon,50.2,49.8,1.3,0.1,190,5120,30,35,30,100,35,80,Levitate,,,,0,0,0,25,Haunter,,,,
93,I,Haunter,Its tongue is made of gas. If licked its victim starts shaking constantly until death eventually comes.,ghost,poison,Gas Pokémon,50.2,49.8,1.6,0.1,90,5120,45,50,45,115,55,95,Levitate,,,,0,0,0,-8,Gengar,,,,
94,I,Gengar,On the night of a full moon if shadows move on their own and laugh it must be Gengar’s doing.,ghost,poison,Shadow Pokémon,50.2,49.8,1.5,40.5,45,5120,60,65,60,130,75,110,Cursed Body,,,,0,0,0,,,,,,
95,I,Onix,As it digs through the ground it absorbs many hard objects. This is what makes its body so solid.,rock,ground,Rock Snake Pokémon,50.2,49.8,8.8,210,45,6400,35,45,160,30,45,70,Rock Head,Sturdy,,Weak Armor,0,0,0,-9,Steelix,,,,
96,I,Drowzee,If you sleep by it all the time it will sometimes show you dreams it had eaten in the past.,psychic,,Hypnosis Pokémon,50,50,1,32.4,190,5120,60,48,45,43,90,42,Insomnia,Forewarn,,Inner Focus,0,0,0,26,Hypno,,,,
97,I,Hypno,Avoid eye contact if you come across one. It will try to put you to sleep by using its pendulum.,psychic,,Hypnosis Pokémon,50,50,1.6,75.6,75,5120,85,73,70,73,115,67,Insomnia,Forewarn,,Inner Focus,0,0,0,,,,,,
98,I,Krabby,It can be found near the sea. The large pincers grow back if they are torn out of their sockets.,water,,River Crab Pokémon,50.2,49.8,0.4,6.5,225,5120,30,105,90,25,25,50,Hyper Cutter,Shell Armor,,Sheer Force,0,0,0,28,Kingler,,,,
99,I,Kingler,Its large and hard pincer has 10000-horsepower strength. However being so big it is unwieldy to move.,water,,Pincer Pokémon,50.2,49.8,1.3,60,60,5120,55,130,115,50,50,75,Hyper Cutter,Shell Armor,,Sheer Force,0,0,0,,,,,,
100,I,Voltorb,It is said to camouflage itself as a Poké Ball. It will self-destruct with very little stimulus.,electric,,Ball Pokémon,,,0.5,10.4,190,5120,40,30,50,55,55,100,Soundproof,Static,,Aftermath,0,0,0,30,Electrode,,,,
101,I,Electrode,Stores electrical energy inside its body. Even the slightest shock could trigger a huge explosion.,electric,,Ball Pokémon,,,1.2,66.6,60,5120,60,50,70,80,80,150,Soundproof,Static,,Aftermath,0,0,0,,,,,,
102,I,Exeggcute,Though it may look like it’s just a bunch of eggs it’s a proper Pokémon. Exeggcute communicates with others of its kind via telepathy apparently.,grass,psychic,Egg Pokémon,50.2,49.8,0.4,2.5,90,5120,60,40,80,60,45,40,Chlorophyll,,,Harvest,0,0,0,-3,Exeggutor,,,,
103,I,Exeggutor,Each of Exeggutor’s three heads is thinking different thoughts. The three don’t seem to be very interested in one another.,grass,psychic,Coconut Pokémon,50.2,49.8,2,120,45,5120,95,95,85,125,75,55,Chlorophyll,,,Frisk- Harvest,0,0,0,,,,,,
104,I,Cubone,When the memory of its departed mother brings it to tears its cries echo mournfully within the skull it wears on its head.,ground,,Lonely Pokémon,50.2,49.8,0.4,6.5,190,5120,50,50,95,40,50,35,Rock Head,Lightning Rod,,Battle Armor,0,0,0,28,Marowak,,,,
105,I,Marowak,This Pokémon overcame its sorrow to evolve a sturdy new body. Marowak faces its opponents bravely using a bone as a weapon.,ground,fire,Bone Keeper Pokémon,50.2,49.8,1,45,75,5120,60,80,110,50,80,45,Rock Head,Lightning Rod,,Battle Armor,0,0,0,,,,,,
106,I,Hitmonlee,This amazing Pokémon has an awesome sense of balance. It can kick in succession from any position.,fighting,,Kicking Pokémon,100,0,1.5,49.8,45,6400,50,120,53,35,110,87,Limber,Reckless,,Unburden,0,0,0,-1,Hitmonlee,,,,
107,I,Hitmonchan,Its punches slice the air. They are launched at such high speed even a slight graze could cause a burn.,fighting,,Punching Pokémon,100,0,1.4,50.2,45,6400,50,105,79,35,110,76,Keen Eye,Iron Fist,,Inner Focus,0,0,0,-2,Hitmonchan,,,,
