id,name,type,phys,dmg,energy,time,fast
210,Muddy Water,Water,0,50,33,2.2,0
202,Octazooka,Water,0,50,50,2.3,0
189,Origin Pulse,Water,0,130,100,1.7,0
212,Razor Shell,Water,1,45,33,1.3,0
142,Scald,Water,0,80,50,3.7,0
32,Splash,Water,0,0,20,1.73,1
185,Surf,Water,0,65,50,1.7,0
31,Water Gun,Water,0,5,5,0.5,1
141,Water Pulse,Water,0,70,50,3.2,0
60,Waterfall,Water,1,16,8,1.2,1
